628673; 2; percentage1; 48.6; 51.0
629219; 2; percentage1; 38.8; 37.0
629219; 3; percentage1; 38.8; 37.0
630500; 2; percentage2; 26.3; 28.03
630500; 3; percentage1; 33.6; 35.77
630500; 3; percentage2; 26.3; 28.03
630500; 4; percentage1; 33.6; 35.77
630500; 4; percentage2; 26.3; 28.03
630500; 5; percentage1; 33.6; 35.8
630500; 5; percentage2; 26.3; 28.0
630500; 6; percentage1; 33.6; 35.77
630500; 6; percentage2; 26.3; 28.03
731977; 1; percentage2; 15.9; 12.67
743340; 1; type; parliamentary; legislative
743340; 2; type; parliamentary; legislative
755594; 1; type; parliamentary; Parliamentary
755594; 2; type; parliamentary; Parliamentary
755594; 3; type; parliamentary; Parliamentary
755594; 4; type; parliamentary; Parliamentary
755601; 1; type; parliamentary; Parliamentary
755601; 2; type; parliamentary; Parliamentary
755601; 2; percentage1; 46.4; 44.5
3865939; 1; type; parliamentary; Parliamentary
3865939; 1; turnout; 70.6; 72.4
3865939; 2; type; parliamentary; Parliamentary
3865939; 2; turnout; 70.6; 72.4
5371495; 1; type; parliamentary; legislative
5371833; 1; type; parliamentary; legislative
8599208; 1; type; parliamentary; legislative
8599208; 2; type; parliamentary; legislative
8710829; 1; type; parliamentary; Parliamentary
8710829; 2; type; parliamentary; Parliamentary
8710829; 3; type; parliamentary; Parliamentary
8710829; 4; type; parliamentary; Parliamentary
8710829; 4; popular_vote2; 712929; 954898
8710829; 5; type; parliamentary; Parliamentary
8711099; 1; type; parliamentary; Parliamentary
8711099; 2; type; parliamentary; Parliamentary
8711099; 3; type; parliamentary; Parliamentary
8711099; 4; type; parliamentary; Parliamentary
8711099; 5; type; parliamentary; Parliamentary
8711276; 1; type; parliamentary; Parliamentary
8711276; 2; type; parliamentary; Parliamentary
8711276; 3; type; parliamentary; Parliamentary
8711276; 4; type; parliamentary; Parliamentary
8711276; 5; type; parliamentary; Parliamentary
8711505; 5; type; parliamentary; Parliamentary
8711586; 4; type; parliamentary; Parliamentary
8739635; 1; type; parliamentary; legislative
8739635; 4; percentage1; 27.7; 37.7
8739635; 4; percentage2; 16.4; 18.8
11569554; 2; type; parliamentary; legislative
11797025; 1; type; parliamentary; legislative
12130396; 1; popular_vote1; 10628224; 13168231
12130396; 1; percentage1; 39.3; 48.7
15124732; 2; type; parliamentary; parlamentare
15124732; 4; turnout; 67.92; 73.6
15124772; 1; turnout; 61.49; 63.0
15125067; 1; type; parliamentary; legislative
15125067; 2; type; parliamentary; legislative
15125067; 3; type; parliamentary; legislative
15125179; 2; type; parliamentary; Parliamentary
15125179; 3; type; parliamentary; Parliamentary
15125179; 4; type; parliamentary; Parliamentary
15125179; 5; type; parliamentary; Parliamentary
15125201; 2; turnout; 34.35; 36.8
15125201; 3; type; parliamentary; Parliamentary
15125201; 3; turnout; 34.35; 36.8
15125201; 4; type; parliamentary; Parliamentary
15125201; 4; turnout; 34.35; 36.8
15125201; 4; percentage1; 34.0; 31.7
15125201; 4; percentage2; 28.4; 26.5
15125204; 1; type; parliamentary; legislative
21211407; 2; popular_vote1; 5472566; 9968153
21211407; 2; percentage1; 20.8; 37.9
21211407; 2; popular_vote2; 3194509; 5472566
21211407; 2; percentage2; 12.1; 20.8
37290824; 2; turnout; 24.47; 0.0
37290824; 3; turnout; 24.47; 0.0
37290824; 4; popular_vote1; 381844; 337220
38464496; 2; popular_vote1; 243654; 186153
38464496; 2; popular_vote2; 237778; 177185
38464496; 3; popular_vote1; 243654; 186153
38464496; 3; popular_vote2; 237778; 177185
38464496; 4; popular_vote1; 243654; 196489
38464496; 4; popular_vote2; 237778; 186474
38464496; 5; popular_vote1; 243654; 214034
38464496; 5; popular_vote2; 237778; 203623
38701962; 3; turnout; 30.55; 32.44
39272578; 3; turnout; 84.17; 89.64
39272578; 4; turnout; 84.17; 89.64
39272578; 5; turnout; 84.17; 89.64
39272578; 6; turnout; 84.17; 89.64
39364084; 2; turnout; 34.22; 27.0
39364084; 3; turnout; 34.22; 27.0
39364084; 4; turnout; 34.22; 27.0
39364084; 5; turnout; 34.22; 27.0
39364084; 6; turnout; 34.22; 36.15
39364084; 7; turnout; 34.22; 36.15
39364084; 8; turnout; 34.22; 35.84
39364094; 1; type; parliamentary; Parliamentary
39364094; 2; type; parliamentary; Parliamentary
39364094; 3; type; parliamentary; Parliamentary
39364094; 4; type; parliamentary; Parliamentary
39364094; 5; type; parliamentary; Parliamentary
39364094; 6; type; parliamentary; Parliamentary
39364101; 5; turnout; 40.73; 42.43
