player;line_nr;year;age;yrs_experience;team;position;games;minutes_played;vorp;salary;drb;orb;trb
Marcus Brown;1;1979;20;2;SAC;C;55;1153;-0.70;922572;20.51;11.88;16.2
Marcus Brown;2;1980;21;3;SAC;PF;25;155;-0.85;754223;20.1;20.45;20.28
Marcus Brown;3;1981;17;4;ATL;PF;2;11;-2.05;979689;11.42;8.4;9.91
Marcus Brown;4;1982;23;5;LAC;PF;35;1523;-1.07;736954;19.37;5.42;12.4
Marcus Brown;5;1983;24;6;SAS;PF;14;569;-0.98;832868;18.42;9.8;14.11
Marcus Brown;6;1984;25;7;SAS;PF;35;1327;-1.24;943881;11.76;13.49;12.63
Marcus Brown;7;1985;26;8;DEN;C;6;18;-24.15;918668;12.21;15.15;13.68
Marcus Brown;8;1986;27;9;ORL;C;37;1357;-3.00;740816;16.74;19.72;18.23
Marcus Brown;9;1986;27;9;MIL;C;31;86;-3.00;814490;21.64;16.59;19.12
Marcus Brown;10;1987;28;10;SEA;PF;8;273;-3.00;620813;23.11;11.18;17.15
Marcus Brown;11;1988;29;11;ORL;PF;36;1346;-2.79;892989;19.69;16.61;18.15
Marcus Brown;12;1988;29;11;DEN;SF;48;407;-3.00;828909;14.48;9.74;4.86
Marcus Brown;13;1989;30;12;BRK;SF;72;1973;-3.00;686972;13.07;4.36;8.72
Marcus Brown;14;1990;31;13;CHI;SF;14;37;-3.00;678523;13.13;4.24;8.69
Marcus Brown;15;1991;32;14;LAL;PG;32;1234;-2.40;659314;11.76;6.69;9.38
Marcus Brown;16;1992;33;15;LAL;SG;39;1444;-1.93;964613;4.83;2.65;3.74
Marcus Brown;17;1993;37;16;IND;SG;38;392;-2.98;764045;-37.90;0.99;4.81
Marcus Brown;18;1994;35;17;IND;SG;13;274;-2.72;931102;7.08;7.24;7.16
Marcus Brown;19;1995;36;19;IND;SG;26;1192;-3.00;728828;8.72;0.6;4.66
Marcus Brown;20;1996;37;19;IND;SG;49;1813;-3.00;792133;15.26;3.66;9.46
Marcus Brown;21;1997;38;20;CHI;SG;9;12;-3.00;717864;12.88;0.91;6.9
Marcus Brown;22;1998;39;21;NYK;SG;11;71;-2.97;932674;8.11;3.31;5.71
Marcus Brown;23;1999;40;22;NYK;SG;47;1590;-3.00;601965;7.14;4.08;5.61
Marcus Brown;24;2000;41;23;NYK;SF;40;908;-12.93;765507;17.97;4.12;17.39
Marcus Brown;25;2001;42;24;NYK;SF;22;491;-3.00;939760;8.05;1.41;4.73
Marcus Brown;26;2002;43;25;TOR;SF;47;586;-2.58;786026;11.15;5.13;7.21
Marcus Brown;27;2003;44;26;TOR;SG;63;424;-2.88;755769;10.58;29.13;5.86
Marcus Brown;28;2004;45;27;TOR;SG;36;1307;-3.00;1592485;8.63;3.09;5.86
Marcus Brown;29;2005;46;28;TOR;SG;22;999;-3.00;635534;12.2;0.98;6.59
Marcus Brown;30;2006;47;32;TOR;SG;69;1684;-2.33;624395;15.7;4.49;10.1
Marcus Brown;31;2007;48;30;UTA;SG;72;596;-1.98;739034;17.58;4.59;11.09
Marcus Brown;32;2008;49;31;MIN;SG;59;309;-29.15;670814;11.12;6.21;8.67
Marcus Brown;33;2008;49;31;SAS;SG;48;1225;-2.39;703904;10.33;1.46;5.12
Marcus Brown;34;2009;51;32;SAS;SG;43;699;-3.00;802535;5.16;7.09;6.13
Marcus Brown;35;2010;51;33;SAS;PF;88;8;-3.00;737939;10.41;6.9;8.66
Nate Robinson;1;1979;21;2;SAS;SG;19;498;4.23;18848740;12.3;6.8;9.55
Nate Robinson;2;1980;23;3;SAS;SG;25;686;4.88;21446562;8.29;6.64;7.47
Nate Robinson;3;1981;23;4;SAS;SG;65;2434;4.91;21566462;10.96;4.28;7.62
Nate Robinson;4;1981;23;4;LAC;PF;70;1236;5.30;23125155;13.16;6.3;9.73
Nate Robinson;5;1981;23;4;CLE;SG;4;94;6.59;28280834;9.13;3.92;6.53
Nate Robinson;6;1982;24;5;CLE;SG;77;2370;8.02;33996043;5.92;2.95;5.11
Nate Robinson;7;1982;24;5;MIA;SG;5;101;8.24;34875306;4.38;5.78;5.08
Nate Robinson;8;1983;25;6;LAC;SG;72;8235;6.58;28240867;13.55;5.28;9.42
Nate Robinson;9;1984;26;7;CHI;SG;48;700;5.33;23245055;5.43;2.27;3.85
Nate Robinson;10;1985;27;8;WAS;SG;1;6;5.03;22046060;11.74;5.03;8.39
Nate Robinson;11;1985;27;8;GSW;SG;59;2180;5.61;24364117;13.86;2.57;8.22
Nate Robinson;12;1986;28;9;GSW;SG;80;1815;7.29;31078489;6.08;5.12;5.6
Nate Robinson;13;1987;29;10;CHO;SG;53;1015;6.83;29240030;8.43;7.07;7.75
